gs_name,gene_symbol
Adipocytes.Connective tissue,NMB
Adipocytes.Connective tissue,RARRES2
Adipocytes.Connective tissue,FST
Adipocytes.Connective tissue,EGFR
Adipocytes.Connective tissue,CPXM1
Adipocytes.Connective tissue,C3
Adipocytes.Connective tissue,ADAMTS5
Adipocytes.Connective tissue,MT2A
Adipocytes.Connective tissue,TIMP1
Adipocytes.Connective tissue,METRN
Adipocytes.Connective tissue,METRNL
Adipocytes.Connective tissue,MYO1C
Adipocytes.Connective tissue,NQO1
Adipocytes.Connective tissue,SYAP1
Adipocytes.Connective tissue,CRNDE
Adipocytes.Connective tissue,AQP5
Adipocytes.Connective tissue,TSPO
Adipocytes.Connective tissue,AZGP1
Adipocytes.Connective tissue,LRP1
Adipocytes.Connective tissue,PDE3B
Adipocytes.Connective tissue,LGALS12
Adipocytes.Connective tissue,SERPINF1
Adipocytes.Connective tissue,CPT1B
Adipocytes.Connective tissue,ELOVL3
Adipocytes.Connective tissue,PPARGC1A
Adipocytes.Connective tissue,MPZL1
Adipocytes.Connective tissue,CITED1
Adipocytes.Connective tissue,DPT
Adipocytes.Connective tissue,HOXC9
Adipocytes.Connective tissue,ZNF423
Adipocytes.Connective tissue,ESM1
Adrenergic neurons.Brain,TH
Adrenergic neurons.Brain,DDC
Adrenergic neurons.Brain,DBH
Adrenergic neurons.Brain,PNMT
Adrenergic neurons.Brain,SLC18A2
Adrenergic neurons.Brain,NPFF
Adrenergic neurons.Brain,SLC12A7
Adrenergic neurons.Brain,SYT1
Airway epithelial cells.Lungs,AQP1
Airway epithelial cells.Lungs,ADH7
Airway epithelial cells.Lungs,CDH1
Airway epithelial cells.Lungs,SEC14L3
Airway goblet cells.Lungs,MUC5B
Airway goblet cells.Lungs,MUC16
Airway goblet cells.Lungs,LTF
Airway goblet cells.Lungs,SCGB3A1
Airway goblet cells.Lungs,DMBT1
Airway goblet cells.Lungs,LIPF
Airway goblet cells.Lungs,MSLN
Airway goblet cells.Lungs,AGR2
Airway goblet cells.Lungs,GP2
Airway goblet cells.Lungs,PIGR
Airway goblet cells.Lungs,TFF2
Airway goblet cells.Lungs,AQP5
Airway goblet cells.Lungs,QSOX1
Airway goblet cells.Lungs,FXYD3
Airway goblet cells.Lungs,SEC23B
Airway goblet cells.Lungs,CEACAM1
Airway goblet cells.Lungs,GOLPH3
Airway goblet cells.Lungs,GGH
Airway goblet cells.Lungs,GALNT5
Airway goblet cells.Lungs,GALNT6
Airway goblet cells.Lungs,MUC5AC
Airway goblet cells.Lungs,MUC4
Airway goblet cells.Lungs,MUC20
Airway goblet cells.Lungs,SPDEF
Airway goblet cells.Lungs,DUSP4
Airway smooth muscle cells.Smooth muscle,NOG
Airway smooth muscle cells.Smooth muscle,ACTA2
Airway smooth muscle cells.Smooth muscle,FOXF1
Airway smooth muscle cells.Smooth muscle,GATA5
Alpha cells.Pancreas,GCG
Alpha cells.Pancreas,TTR
Alpha cells.Pancreas,GLP1R
Alpha cells.Pancreas,ARX
Alpha cells.Pancreas,POU3F4
Alpha cells.Pancreas,NKX2-2
Alpha cells.Pancreas,RESP18
Alpha cells.Pancreas,PYY
Alpha cells.Pancreas,PCSK2
Alpha cells.Pancreas,SLC38A5
Alpha cells.Pancreas,TM4SF4
Alpha cells.Pancreas,CRYBA2
Alpha cells.Pancreas,NKX6-1
Alpha cells.Pancreas,KCNK16
Alpha cells.Pancreas,PCSK1
Alpha cells.Pancreas,PRRG2
Alpha cells.Pancreas,IRX2
Alpha cells.Pancreas,ALDH1A1
Alpha cells.Pancreas,PEMT
Alpha cells.Pancreas,CHGA
Alpha cells.Pancreas,SMIM24
Alpha cells.Pancreas,F10
Alpha cells.Pancreas,SCGN
Alpha cells.Pancreas,SLC30A8
Alpha cells.Pancreas,SH3GL2
Alpha cells.Pancreas,SCGB2A1
Alpha cells.Pancreas,FAP
Alpha cells.Pancreas,DPP4
Alpha cells.Pancreas,GPR119
Alpha cells.Pancreas,MAFB
Alpha cells.Pancreas,PAX6
Alpha cells.Pancreas,NEUROD1
Alpha cells.Pancreas,LOXL4
Alpha cells.Pancreas,PLCE1
Alpha cells.Pancreas,GC
Alpha cells.Pancreas,KLHL41
Alpha cells.Pancreas,FEV
Alpha cells.Pancreas,PTGER3
Alpha cells.Pancreas,RFX6
Alpha cells.Pancreas,SMARCA1
Alpha cells.Pancreas,PGR
Alpha cells.Pancreas,LDB2
Alpha cells.Pancreas,IRX1
Alpha cells.Pancreas,UCP2
Alpha cells.Pancreas,FXYD5
Alpha cells.Pancreas,RGS4
Alpha cells.Pancreas,GLS
Alveolar macrophages.Lungs,PLET1
Alveolar macrophages.Lungs,IL1B
Alveolar macrophages.Lungs,CCL3
Alveolar macrophages.Lungs,G0S2
Alveolar macrophages.Lungs,CXCL2
Alveolar macrophages.Lungs,MCEMP1
Alveolar macrophages.Lungs,KLHDC4
Alveolar macrophages.Lungs,GDA
Alveolar macrophages.Lungs,CLEC7A
Alveolar macrophages.Lungs,ITGAX
Alveolar macrophages.Lungs,TNFAIP2
Alveolar macrophages.Lungs,CD36
Alveolar macrophages.Lungs,GAL
Alveolar macrophages.Lungs,TLR2
Alveolar macrophages.Lungs,GPNMB
Alveolar macrophages.Lungs,MRC1
Alveolar macrophages.Lungs,MARCO
Alveolar macrophages.Lungs,CSF2RB
Alveolar macrophages.Lungs,MPP1
Alveolar macrophages.Lungs,TRIM25
Alveolar macrophages.Lungs,OLR1
Alveolar macrophages.Lungs,S100A4
Alveolar macrophages.Lungs,GNGT2
Anterior pituitary gland cells.Brain,AGA
Anterior pituitary gland cells.Brain,ANGPT1
Anterior pituitary gland cells.Brain,CHGA
Anterior pituitary gland cells.Brain,CPEB4
Anterior pituitary gland cells.Brain,IGSF1
Anterior pituitary gland cells.Brain,MEST
Anterior pituitary gland cells.Brain,NKTR
Anterior pituitary gland cells.Brain,NUCB2
Anterior pituitary gland cells.Brain,PITX2
Anterior pituitary gland cells.Brain,POU1F1
Anterior pituitary gland cells.Brain,PRL
Anterior pituitary gland cells.Brain,RAB27A
Anterior pituitary gland cells.Brain,RCN3
Anterior pituitary gland cells.Brain,SEZ6L2
Anterior pituitary gland cells.Brain,SIX6
Anterior pituitary gland cells.Brain,TBRG1
Anterior pituitary gland cells.Brain,TMEM130
Anterior pituitary gland cells.Brain,POMC
Anterior pituitary gland cells.Brain,GMPPA
Anterior pituitary gland cells.Brain,GNB3
Anterior pituitary gland cells.Brain,HEPACAM2
Anterior pituitary gland cells.Brain,ASB4
Anterior pituitary gland cells.Brain,RAX
Anterior pituitary gland cells.Brain,NKX2-1
Anterior pituitary gland cells.Brain,FGF10
Anterior pituitary gland cells.Brain,FSHB
Anterior pituitary gland cells.Brain,PCSK1
Anterior pituitary gland cells.Brain,GNRHR
Anterior pituitary gland cells.Brain,PITX1
Anterior pituitary gland cells.Brain,GH1
Anterior pituitary gland cells.Brain,TSHB
Anterior pituitary gland cells.Brain,PAX7
Anterior pituitary gland cells.Brain,LHB
Astrocytes.Brain,S100B
Astrocytes.Brain,SLC1A2
Astrocytes.Brain,GFAP
Astrocytes.Brain,BYSL
Astrocytes.Brain,ALDH1L1
Astrocytes.Brain,CD40
Astrocytes.Brain,SLC1A3
Astrocytes.Brain,FGFR3
Astrocytes.Brain,GJB6
Astrocytes.Brain,AQP4
Astrocytes.Brain,HTRA1
Astrocytes.Brain,S100A8
Astrocytes.Brain,CLDN10
Astrocytes.Brain,ITIH3
Astrocytes.Brain,NKAIN4
Astrocytes.Brain,ACSL6
Astrocytes.Brain,ACSBG1
Astrocytes.Brain,TRIL
Astrocytes.Brain,AGT
Astrocytes.Brain,GPR37L1
Astrocytes.Brain,SLC4A4
Astrocytes.Brain,NTSR2
Astrocytes.Brain,SLC6A11
Astrocytes.Brain,HSPA2
Astrocytes.Brain,SLC16A2
Astrocytes.Brain,SYNE1
Astrocytes.Brain,DIO2
Astrocytes.Brain,SLC7A10
Astrocytes.Brain,ENTPD2
Astrocytes.Brain,HSPB6
Astrocytes.Brain,PLXNB1
Astrocytes.Brain,LCAT
Astrocytes.Brain,PLA2G7
Astrocytes.Brain,CMTM5
Astrocytes.Brain,S1PR1
Astrocytes.Brain,SLC39A12
Astrocytes.Brain,LUZP2
Astrocytes.Brain,GSTA4
Astrocytes.Brain,SLC25A28
Astrocytes.Brain,SLC25A46
Astrocytes.Brain,WNT3
Astrocytes.Brain,FZD2
Astrocytes.Brain,TEAD1
Astrocytes.Brain,RLBP1
Astrocytes.Brain,ALDOC
Astrocytes.Brain,GJA1
Astrocytes.Brain,APOE
Astrocytes.Brain,LCN2
Astrocytes.Brain,SOX9
Astrocytes.Brain,VIM
Astrocytes.Brain,CCR7
Astrocytes.Brain,AANAT
Astrocytes.Brain,FABP7
Astrocytes.Brain,SOCS3
Astrocytes.Brain,SYNM
Astrocytes.Brain,HMG20A
Astrocytes.Brain,NFATC3
Astrocytes.Brain,SRR
Astrocytes.Brain,SLC1A6
Astrocytes.Brain,ETS1
Astrocytes.Brain,SLIT1
Astrocytes.Brain,SNPH
Astrocytes.Brain,IL23A
B cells.Immune system,CD2
B cells.Immune system,CD5
B cells.Immune system,MS4A1
B cells.Immune system,CR2
B cells.Immune system,CD22
B cells.Immune system,FCER2
B cells.Immune system,CD40
B cells.Immune system,CD69
B cells.Immune system,CD70
B cells.Immune system,CD79A
B cells.Immune system,CD79B
B cells.Immune system,CD80
B cells.Immune system,CD86
B cells.Immune system,TNFRSF9
B cells.Immune system,SDC1
B cells.Immune system,TNFSF4
B cells.Immune system,TNFRSF13B
B cells.Immune system,TNFRSF13C
B cells.Immune system,PDCD1
B cells.Immune system,IGHD
B cells.Immune system,IGHM
B cells.Immune system,RASGRP3
B cells.Immune system,HLA-DRA
B cells.Immune system,LTB
B cells.Immune system,HLA-DQA1
B cells.Immune system,FLI1
B cells.Immune system,CD14
B cells.Immune system,SEMA6D
B cells.Immune system,LAIR1
B cells.Immune system,IFIT3
B cells.Immune system,IGLL1
B cells.Immune system,DNTT
B cells.Immune system,MME
B cells.Immune system,SPN
B cells.Immune system,CD19
B cells.Immune system,CD24
B cells.Immune system,CD27
B cells.Immune system,B3GAT1
B cells.Immune system,CD72
B cells.Immune system,MUM1
B cells.Immune system,PAX5
B cells.Immune system,JCHAIN
B cells.Immune system,MZB1
B cells.Immune system,LY6D
B cells.Immune system,FCMR
B cells.Immune system,BANK1
B cells.Immune system,EDEM1
B cells.Immune system,VPREB3
B cells.Immune system,POU2AF1
B cells.Immune system,CRELD2
B cells.Immune system,DERL3
B cells.Immune system,RALGPS2
B cells.Immune system,FCHSD2
B cells.Immune system,POLD4
B cells.Immune system,TNFRSF17
B cells.Immune system,HVCN1
B cells.Immune system,FCRLA
B cells.Immune system,EDEM2
B cells.Immune system,BLNK
B cells.Immune system,TXNDC11
B cells.Immune system,BTLA
B cells.Immune system,SMAP2
B cells.Immune system,FKBP11
B cells.Immune system,SEC61A1
B cells.Immune system,SPCS3
B cells.Immune system,SPIB
B cells.Immune system,EAF2
B cells.Immune system,CXCR4
B cells.Immune system,BIRC3
B cells.Immune system,IGLC2
B cells.Immune system,IGLC3
