IC	Gene	n_genes	phenotype
IC1	HSD17B11	212	G2M
IC1	CCDC150	212	G2M
IC1	C11orf82	212	G2M
IC1	HMGN2	212	G2M
IC1	KIAA0101	212	G2M
IC1	WHSC1	212	G2M
IC1	TRAIP	212	G2M
IC1	H2AFZ	212	G2M
IC1	TIMELESS	212	G2M
IC1	TDP1	212	G2M
IC1	ASF1B	212	G2M
IC2	DTL	291	G1S
IC2	GINS2	291	G1S
IC2	CDC6	291	G1S
IC2	MCM3	291	G1S
IC2	MCM4	291	G1S
IC2	WDR76	291	G1S
IC2	MCM5	291	G1S
IC2	FEN1	291	G1S
IC2	CLSPN	291	G1S
IC2	CCNE2	291	G1S
IC2	RFC4	291	G1S
IC2	MCM6	291	G1S
IC2	KNTC1	291	G1S
IC2	PCNA	291	G1S
IC2	DSN1	291	G1S
IC2	POLD3	291	G1S
IC2	CDC45	291	G1S
IC2	HELLS	291	G1S
IC2	MCM7	291	G1S
IC2	ATAD2	291	G1S
IC2	MCM10	291	G1S
IC2	GMNN	291	G1S
IC2	CDCA7	291	G1S
IC2	CENPK	291	G1S
IC2	MSH2	291	G1S
IC2	MLF1IP	291	G1S
IC2	EXO1	291	G1S
IC2	MCM2	291	G1S
IC2	ORC6	291	G1S
IC2	BRCA1	291	G1S
IC2	WDHD1	291	G1S
IC2	RAD51AP1	291	G1S
IC2	FANCI	291	G1S
IC2	FAM111B	291	G1S
IC2	ZWINT	291	G1S
IC2	RRM2	291	G1S
IC2	CDK1	291	G1S
IC2	FIGNL1	291	G1S
IC2	PRIM1	291	G1S
IC2	C4orf21	291	G1S
IC2	FANCL	291	G1S
IC2	ORC1	291	G1S
IC2	TMEM97	291	G1S
IC2	CDC7	291	G1S
IC2	RFC3	291	G1S
IC2	MMS22L	291	G1S
IC2	CHAF1B	291	G1S
IC2	CDK2	291	G1S
IC2	BRCA2	291	G1S
IC2	RNASEH2A	291	G1S
IC2	ESCO2	291	G1S
IC2	UHRF1	291	G1S
IC2	RFC5	291	G1S
IC2	HAUS8	291	G1S
IC2	RBBP8	291	G1S
IC2	RRM1	291	G1S
IC2	RFC2	291	G1S
IC2	TYMS	291	G1S
