IC	Gene	n_genes	phenotype
IC4	NT5C3	372	OxPhos
IC4	RAB34	372	OxPhos
IC4	FTH1	372	OxPhos
IC4	C16orf13	372	OxPhos
IC4	RBCK1	372	OxPhos
IC4	RNASEH2C	372	OxPhos
IC4	NUDT22	372	OxPhos
IC4	PMPCA	372	OxPhos
IC4	ITFG1	372	OxPhos
IC4	STRA13	372	OxPhos
IC4	MAN2C1	372	OxPhos
IC4	RRP9	372	OxPhos
IC4	TBL2	372	OxPhos
IC4	ITPA	372	OxPhos
IC4	USP5	372	OxPhos
IC4	PRDX4	372	OxPhos
IC4	C21orf33	372	OxPhos
IC4	UCKL1	372	OxPhos
IC4	MRPL55	372	OxPhos
IC4	ARAF	372	OxPhos
IC4	COQ9	372	OxPhos
IC4	CHID1	372	OxPhos
IC4	B3GAT3	372	OxPhos
IC4	CENPT	372	OxPhos
IC4	NFYC	372	OxPhos
IC4	DNTTIP1	372	OxPhos
IC4	SLC25A4	372	OxPhos
IC4	HGS	372	OxPhos
IC4	SLC25A39	372	OxPhos
IC4	MLST8	372	OxPhos
IC4	TMED2	372	OxPhos
IC4	ITFG3	372	OxPhos
IC4	ATP6V0B	372	OxPhos
IC4	MRPS24	372	OxPhos
IC4	STK25	372	OxPhos
IC4	HK1	372	OxPhos
IC4	TUBB2B	372	OxPhos
IC4	BRD3	372	OxPhos
IC4	GCAT	372	OxPhos
IC4	SCO2	372	OxPhos
IC4	ASCC2	372	OxPhos
IC4	TSTA3	372	OxPhos
IC4	DDX56	372	OxPhos
IC4	FAM127A	372	OxPhos
IC4	YIPF2	372	OxPhos
IC4	BCAN	372	OxPhos
IC4	GPX4	372	OxPhos
IC4	TMEM134	372	OxPhos
IC4	DNMT1	372	OxPhos
IC4	MRPL4	372	OxPhos
IC4	MRPS2	372	OxPhos
IC4	EIF3F	372	OxPhos
IC4	NAA10	372	OxPhos
IC4	SSSCA1	372	OxPhos
IC4	PRMT1	372	OxPhos
IC4	C20orf27	372	OxPhos
IC4	TMEM222	372	OxPhos
IC4	CD97	372	OxPhos
IC4	USB1	372	OxPhos
IC4	ECSIT	372	OxPhos
IC4	HLA-E	372	OxPhos
IC4	C1orf122	372	OxPhos
IC4	CYTH2	372	OxPhos
IC4	SEC61A1	372	OxPhos
IC4	CDK5	372	OxPhos
IC4	CD82	372	OxPhos
IC4	FN3KRP	372	OxPhos
IC4	C6orf1	372	OxPhos
IC4	ISG15	372	OxPhos
IC4	SCAMP3	372	OxPhos
IC4	COMMD7	372	OxPhos
IC4	RTKN	372	OxPhos
IC4	IDH2	372	OxPhos
IC4	SCO1	372	OxPhos
IC4	UBXN11	372	OxPhos
IC4	IFRD2	372	OxPhos
IC4	WDR13	372	OxPhos
IC4	TBRG4	372	OxPhos
IC4	VPS72	372	OxPhos
IC4	INTS10	372	OxPhos
IC4	ERI3	372	OxPhos
IC4	C11orf31	372	OxPhos
IC4	FUCA2	372	OxPhos
IC4	MYBBP1A	372	OxPhos
IC4	NDUFS8	372	OxPhos
IC4	NAPA	372	OxPhos
IC4	PDIA4	372	OxPhos
IC4	ARL8B	372	OxPhos
IC4	DNAJA3	372	OxPhos
IC4	KXD1	372	OxPhos
IC4	TAP1	372	OxPhos
IC4	NRSN2	372	OxPhos
IC4	SIL1	372	OxPhos
IC4	TPD52L2	372	OxPhos
IC4	PSMD2	372	OxPhos
IC4	ELOF1	372	OxPhos
IC4	UBL4A	372	OxPhos
IC4	NUDC	372	OxPhos
IC4	C7orf50	372	OxPhos
IC4	TIMM17B	372	OxPhos
IC4	LRP1	372	OxPhos
IC4	PPP1R15A	372	OxPhos
IC4	TCF25	372	OxPhos
IC4	TSPAN3	372	OxPhos
IC4	NDUFB11	372	OxPhos
IC4	UBE2I	372	OxPhos
IC4	DOM3Z	372	OxPhos
IC4	PDK2	372	OxPhos
IC4	SMOX	372	OxPhos
IC4	PAF1	372	OxPhos
IC4	ZDHHC12	372	OxPhos
IC4	SLC35B1	372	OxPhos
IC4	DGCR6	372	OxPhos
IC4	NFIC	372	OxPhos
IC4	CCDC115	372	OxPhos
IC4	DCTN2	372	OxPhos
IC4	C19orf25	372	OxPhos
IC4	NDEL1	372	OxPhos
IC4	KDELR1	372	OxPhos
IC4	NAT9	372	OxPhos
IC4	UQCRFS1	372	OxPhos
IC4	SLC25A38	372	OxPhos
IC4	DGCR2	372	OxPhos
IC4	DCUN1D5	372	OxPhos
IC4	TMEM9B	372	OxPhos
IC4	SCAMP2	372	OxPhos
IC4	NTMT1	372	OxPhos
IC4	LMNA	372	OxPhos
IC4	QTRT1	372	OxPhos
IC4	CAPN1	372	OxPhos
IC4	EMP3	372	OxPhos
IC4	SQSTM1	372	OxPhos
IC4	TMEM223	372	OxPhos
IC4	NINJ1	372	OxPhos
IC4	CD276	372	OxPhos
IC4	WDR45L	372	OxPhos
IC4	CIB1	372	OxPhos
IC4	TGFB1I1	372	OxPhos
IC4	CBS	372	OxPhos
IC5	NUDT19	294	
IC5	CTTN	294	
IC5	TOB1	294	
IC5	CASP2	294	
IC5	SRSF6	294	
IC5	TSPYL1	294	
IC5	C6orf62	294	
IC5	STRN3	294	
IC5	RQCD1	294	
IC5	SENP5	294	
IC5	CHP1	294	
IC5	ELMSAN1	294	
IC5	PTEN	294	
IC5	PAN3	294	
IC5	SKIL	294	
IC5	RIN2	294	
IC5	PTPRS	294	
IC5	RP11-179H18.2	294	
IC5	PIP4K2A	294	
IC5	SAR1A	294	
IC5	TLK1	294	
IC5	RAP2B	294	
IC5	TLE3	294	
IC5	ANKRD10	294	
IC5	AXL	294	
IC5	TMEM33	294	
IC5	RP11-252A24.7	294	
IC5	AEBP2	294	
IC5	LETM1	294	
IC5	RP11-718G2.4	294	
IC5	R3HDM2	294	
IC5	INSR	294	
IC5	CNP	294	
IC5	TXLNA	294	
IC5	GLT25D1	294	
IC5	FAM46A	294	
IC5	TRA2A	294	
IC5	B4GALT1	294	
IC5	STAT2	294	
IC5	FNIP1	294	
IC5	EIF2S3	294	
IC5	SEC22B	294	
IC5	C12orf23	294	
IC5	PAFAH1B2	294	
IC5	FKBP9	294	
IC5	NFIB	294	
IC5	MIER1	294	
IC5	CAPZA1	294	
IC5	CACUL1	294	
IC5	NABP1	294	
IC5	ARPC4	294	
IC5	ARID2	294	
IC5	TOR1AIP2	294	
IC5	PPP1CB	294	
IC5	RAB21	294	
IC5	SLMO2	294	
IC5	BCL10	294	
IC5	BAG4	294	
IC5	DNMT3A	294	
IC5	SYNC	294	
IC5	ARRDC3	294	
IC5	STEAP2	294	
IC5	ZNF286A	294	
IC5	EXOSC6	294	
IC5	MTPAP	294	
IC5	PTBP2	294	
IC5	WTAP	294	
IC5	PER2	294	
IC5	ZC3H4	294	
IC5	REEP3	294	
IC5	CDC42BPA	294	
IC5	ARHGAP1	294	
IC5	SLC48A1	294	
IC5	FAM76A	294	
IC5	HNRNPH1	294	
IC5	TWIST1	294	
IC5	SHISA2	294	
IC5	TULP4	294	
IC5	ZIC2	294	
IC5	USP22	294	
IC5	RAD52	294	
IC5	VSIG10	294	
IC5	SOX11	294	
IC5	SET	294	
IC5	MAP1B	294	
IC5	LARP4B	294	
IC5	THAP5	294	
IC5	PPP3CA	294	
IC5	TMEM41B	294	
IC5	TRIM59	294	
IC5	DPYSL2	294	
IC5	GOLGA3	294	
IC5	SLC25A37	294	
IC5	PSMB4	294	
IC5	SLC35F2	294	
IC5	NAA15	294	
IC5	AASS	294	
IC5	XYLT2	294	
IC5	VMP1	294	
IC5	RAP2C	294	
IC5	APOL2	294	
IC5	EAF1	294	
IC5	TBL1XR1	294	
IC5	ANP32E	294	
IC5	C2orf68	294	
IC5	BLOC1S3	294	
IC5	WNT5A	294	
IC5	BRD3	294	
IC5	CTBP1	294	
IC5	EDEM1	294	
IC5	ARF6	294	
IC5	EYA3	294	
IC5	THUMPD1	294	
IC5	RAB33B	294	
IC5	SGPL1	294	
IC5	TBC1D24	294	
IC5	TSC22D2	294	
IC5	MEIS1	294	
IC5	LCLAT1	294	
IC5	INO80D	294	
IC5	LSM12	294	
IC5	ENAH	294	
IC5	ZFX	294	
IC5	STK17B	294	
IC5	RAP1GDS1	294	
IC5	RBMS3	294	
IC5	KIAA1467	294	
IC5	RBM6	294	
IC5	SLC30A7	294	
IC5	HMGCS1	294	
IC5	HNRNPA0	294	
IC5	ZC3HAV1	294	
IC5	TMTC3	294	
IC5	NF2	294	
IC5	CDC42	294	
IC5	TTC39C	294	
IC5	SLC39A11	294	
IC5	KPNA6	294	
IC5	GLTP	294	
IC5	PTP4A2	294	
IC5	CRISPLD2	294	
IC5	DNAJC16	294	
IC5	PARD6B	294	
IC5	LRRC16A	294	
IC5	SAMD8	294	
IC5	UBE2B	294	
IC5	TP53	294	
IC5	RWDD2B	294	
IC5	AC008040.1	294	
IC5	CTD-3252C9.4	294	
IC5	ARGLU1	294	
IC5	NUP43	294	
IC5	SMU1	294	
IC5	SLC39A9	294	
IC5	PGGT1B	294	
IC5	RP11-658F2.8	294	
IC5	CNN2	294	
IC5	ANKRD40	294	
IC5	CDC42SE2	294	
IC5	DCUN1D4	294	
IC5	SBNO1	294	
IC5	PDS5B	294	
IC5	FRMD8	294	
IC5	PARP9	294	
IC5	TUBGCP4	294	
IC5	SRPRB	294	
IC5	ITCH	294	
IC5	RASSF3	294	
IC5	EFNA5	294	
IC5	SKA2	294	
IC5	THRAP3	294	
IC5	NT5DC3	294	
IC5	PON2	294	
IC5	EGR1	294	
IC5	TPTE2	294	
IC5	CRIM1	294	
IC5	MDM4	294	
IC5	TRIM13	294	
IC5	IRF2BP2	294	
IC5	MAST3	294	
IC5	SLC12A2	294	
IC5	MBOAT1	294	
IC5	ARID1B	294	
IC5	PRDM2	294	
IC5	UBE4A	294	
IC5	NUP50	294	
IC5	TAPBP	294	
IC5	LYSMD1	294	
IC5	C22orf29	294	
IC5	POGZ	294	
IC5	METTL21B	294	
IC5	NADKD1	294	
IC5	RIMKLB	294	
IC5	TRIM26	294	
IC5	ZNF286B	294	
IC5	C1orf56	294	
IC5	AFMID	294	
IC5	NFIA	294	
IC5	ZFP36L2	294	
IC5	HERPUD1	294	
IC5	CPT1A	294	
IC5	LIN7C	294	
IC5	IGF1R	294	
IC5	WBP1L	294	
IC5	QRICH1	294	
IC5	OGT	294	
IC5	CTNNB1	294	
IC5	SDC4	294	
IC5	ZFHX3	294	
IC5	PARP14	294	
IC5	EIF2S1	294	
IC5	DAAM1	294	
IC5	SNHG3	294	
IC5	RREB1	294	
IC5	COPB1	294	
IC5	SLC25A45	294	
IC5	RBBP5	294	
IC5	PSMG3	294	
IC5	BCL6	294	
IC5	EBP	294	
IC5	EIF1AD	294	
IC5	DNAJA2	294	
IC5	SCD	294	
IC5	SYT1	294	
IC5	CACNB2	294	
IC5	SNHG12	294	
IC5	POGLUT1	294	
IC5	SNTB2	294	
IC5	PRPF39	294	
IC5	PCMTD2	294	
IC5	PDLIM5	294	
IC5	DCUN1D3	294	
IC5	GUCD1	294	
IC5	ZFC3H1	294	
IC5	MGA	294	
IC5	YWHAG	294	
IC5	ADAMTS4	294	
IC5	C1orf174	294	
IC5	PPP6R3	294	
IC5	ZNF532	294	
IC5	UBE2W	294	
IC5	ABCA1	294	
IC5	TIMP3	294	
IC5	UBE2G1	294	
IC5	FADS1	294	
IC5	FAM134A	294	
IC5	PSMD11	294	
IC5	IRF2BPL	294	
IC5	C2orf18	294	
IC5	S1PR2	294	
IC5	HNRNPU	294	
IC5	KPNA4	294	
IC5	CDV3	294	
IC5	QKI	294	
IC5	NAMPT	294	
IC5	UBR2	294	
IC5	EIF4B	294	
IC5	UHRF1	294	
IC5	SETD8	294	
IC5	KIAA0247	294	
IC5	TCF7L2	294	
IC5	SRSF3	294	
IC5	SOX4	294	
IC5	ARNT	294	
IC5	EEA1	294	
IC5	NHSL1	294	
IC5	ZFHX4	294	
IC5	ARID5B	294	
IC5	ZNF516	294	
IC5	CD47	294	
IC5	C21orf33	294	
IC5	IL6ST	294	
IC5	PRAC	294	
IC5	LRRC8A	294	
IC5	OCLN	294	
IC5	HERPUD2	294	
IC5	TCF4	294	
IC5	ZNF451	294	
IC5	F3	294	
IC5	NOP58	294	
IC5	ING3	294	
IC5	SENP7	294	
IC5	CALCOCO2	294	
IC5	ERRFI1	294	
IC5	CNEP1R1	294	
IC5	DCUN1D1	294	
IC5	TFPI	294	
IC5	ARSB	294	
IC5	FAM110B	294	
IC5	IQCG	294	
IC5	ERBB2IP	294	
IC5	DDAH1	294	
IC5	FBXO32	294	
IC5	DTX3L	294	
IC6	ATP5G3	428	OxPhos
IC6	ATP5C1	428	OxPhos
IC6	ACP1	428	OxPhos
IC6	TXNDC17	428	OxPhos
IC6	POLR2G	428	OxPhos
IC6	PSMB3	428	OxPhos
IC6	C14orf166	428	OxPhos
IC6	SPCS1	428	OxPhos
IC6	EMC4	428	OxPhos
IC6	ESD	428	OxPhos
IC6	MRPL32	428	OxPhos
IC6	DDOST	428	OxPhos
IC6	PSMB7	428	OxPhos
IC6	TSPAN6	428	OxPhos
IC6	SLC25A5	428	OxPhos
IC6	ATP5F1	428	OxPhos
IC6	EIF3H	428	OxPhos
IC6	MRPL47	428	OxPhos
IC6	PSMC5	428	OxPhos
IC6	BRK1	428	OxPhos
IC6	MTCH2	428	OxPhos
IC6	HSBP1	428	OxPhos
IC6	PSMC2	428	OxPhos
IC6	EIF3I	428	OxPhos
IC6	RP11-622K12.1	428	OxPhos
IC6	LDHB	428	OxPhos
IC6	MDH2	428	OxPhos
IC6	ATRAID	428	OxPhos
IC6	APEX1	428	OxPhos
IC6	ARPC3	428	OxPhos
IC6	VPS29	428	OxPhos
IC6	PSMB1	428	OxPhos
IC6	SNRPC	428	OxPhos
IC6	ECHS1	428	OxPhos
IC6	LITAF	428	OxPhos
IC6	PSME2	428	OxPhos
IC6	TIMM8B	428	OxPhos
IC6	NAA20	428	OxPhos
IC6	GHITM	428	OxPhos
IC6	GTF3C6	428	OxPhos
IC6	COPS6	428	OxPhos
IC6	NDUFA6	428	OxPhos
IC6	VDAC3	428	OxPhos
IC6	MDH1	428	OxPhos
IC6	SLIRP	428	OxPhos
IC6	UFD1L	428	OxPhos
IC6	DYNLRB1	428	OxPhos
IC6	DLD	428	OxPhos
IC6	CHMP5	428	OxPhos
IC6	ATP5J	428	OxPhos
IC6	EIF2S1	428	OxPhos
IC6	SDHD	428	OxPhos
IC6	CCT5	428	OxPhos
IC6	NDUFA12	428	OxPhos
IC6	MMADHC	428	OxPhos
IC6	NDUFB5	428	OxPhos
IC6	POMP	428	OxPhos
IC6	ILF2	428	OxPhos
IC6	SF3B5	428	OxPhos
IC6	NDUFS4	428	OxPhos
IC6	ANAPC11	428	OxPhos
IC6	RPL26L1	428	OxPhos
IC6	RNF181	428	OxPhos
IC6	TRAPPC2L	428	OxPhos
IC6	SSR2	428	OxPhos
IC6	PSMA5	428	OxPhos
IC6	COX7A2L	428	OxPhos
IC6	ABRACL	428	OxPhos
IC6	UQCRQ	428	OxPhos
IC6	CIAPIN1	428	OxPhos
IC6	MRPL33	428	OxPhos
IC6	COX7B	428	OxPhos
IC6	PHB	428	OxPhos
IC6	DYNLT1	428	OxPhos
IC6	OSTC	428	OxPhos
IC6	ARF4	428	OxPhos
IC6	SDHB	428	OxPhos
IC6	DCAF13	428	OxPhos
IC6	LAMTOR4	428	OxPhos
IC6	15-Sep	428	OxPhos
IC6	PDCD5	428	OxPhos
IC6	UFC1	428	OxPhos
IC6	NDUFA1	428	OxPhos
IC6	CNIH4	428	OxPhos
IC6	MRPL36	428	OxPhos
IC6	CLIC1	428	OxPhos
IC6	NOP10	428	OxPhos
IC6	SNHG16	428	OxPhos
IC6	BCAP31	428	OxPhos
IC6	RPN2	428	OxPhos
IC6	PPIB	428	OxPhos
IC6	PSMB6	428	OxPhos
IC6	CCT2	428	OxPhos
IC6	PARK7	428	OxPhos
IC6	DPY30	428	OxPhos
IC6	PSMA4	428	OxPhos
IC6	RPS27L	428	OxPhos
IC6	PSMD11	428	OxPhos
IC6	MRPL51	428	OxPhos
IC6	PSMC3	428	OxPhos
IC6	MRPS7	428	OxPhos
IC6	NDUFB3	428	OxPhos
IC6	PSMB2	428	OxPhos
IC6	UQCRH	428	OxPhos
IC6	ROMO1	428	OxPhos
IC6	ERGIC3	428	OxPhos
IC6	ECH1	428	OxPhos
IC6	CCT3	428	OxPhos
IC6	NDUFB6	428	OxPhos
IC6	ARL3	428	OxPhos
IC6	SUCLG1	428	OxPhos
IC6	NDUFB4	428	OxPhos
IC6	WDR61	428	OxPhos
IC6	PSMD7	428	OxPhos
IC6	SNRPD3	428	OxPhos
IC6	UQCR10	428	OxPhos
IC6	AP2M1	428	OxPhos
IC6	NDUFS5	428	OxPhos
IC6	MNF1	428	OxPhos
IC6	TMEM14B	428	OxPhos
IC6	SNRPD2	428	OxPhos
IC6	SEC61G	428	OxPhos
IC6	GSTK1	428	OxPhos
IC6	MEA1	428	OxPhos
IC6	CWC15	428	OxPhos
IC6	RBBP4	428	OxPhos
IC6	TXN2	428	OxPhos
IC6	ADH5	428	OxPhos
IC6	PDIA6	428	OxPhos
IC6	PGD	428	OxPhos
IC6	ADSL	428	OxPhos
IC6	PRCP	428	OxPhos
IC6	HIGD1A	428	OxPhos
IC6	NDUFA8	428	OxPhos
IC6	HDDC2	428	OxPhos
IC6	LAMTOR2	428	OxPhos
IC6	UBE2N	428	OxPhos
IC6	PSMA3	428	OxPhos
IC6	GLRX3	428	OxPhos
IC6	SAP18	428	OxPhos
IC6	IMPDH2	428	OxPhos
IC6	WBSCR22	428	OxPhos
IC6	SEC13	428	OxPhos
IC6	HADHB	428	OxPhos
IC6	PHPT1	428	OxPhos
IC6	TMEM14C	428	OxPhos
IC6	MRPL27	428	OxPhos
IC6	EIF3K	428	OxPhos
IC6	HADHA	428	OxPhos
IC6	PAPSS1	428	OxPhos
IC6	BZW1	428	OxPhos
IC6	PSME1	428	OxPhos
IC6	EIF3M	428	OxPhos
IC6	FIBP	428	OxPhos
IC6	COPS8	428	OxPhos
IC6	SSBP1	428	OxPhos
IC6	COA3	428	OxPhos
IC6	MRPL21	428	OxPhos
IC6	DBI	428	OxPhos
IC6	TXN	428	OxPhos
IC6	UROD	428	OxPhos
IC6	EIF3L	428	OxPhos
IC6	TMEM50A	428	OxPhos
IC6	ATP5G1	428	OxPhos
IC6	PRDX6	428	OxPhos
IC6	SUMO1	428	OxPhos
IC6	PRDX4	428	OxPhos
IC6	COPB2	428	OxPhos
IC6	GSTO1	428	OxPhos
IC6	TMEM59	428	OxPhos
IC6	ARPC1A	428	OxPhos
IC6	SEC11A	428	OxPhos
IC6	TMEM230	428	OxPhos
IC6	ATP5L	428	OxPhos
IC6	SRPRB	428	OxPhos
IC6	SNRPD1	428	OxPhos
IC6	PSMD8	428	OxPhos
IC6	COX5B	428	OxPhos
IC6	ATP5H	428	OxPhos
IC6	EIF4E2	428	OxPhos
IC6	CS	428	OxPhos
IC6	TIMM10	428	OxPhos
IC6	COX4I1	428	OxPhos
IC6	HAX1	428	OxPhos
IC6	CNIH	428	OxPhos
IC6	NONO	428	OxPhos
IC6	TIMM17A	428	OxPhos
IC6	MRPL50	428	OxPhos
IC6	MYEOV2	428	OxPhos
IC6	PRDX3	428	OxPhos
IC6	STOML2	428	OxPhos
IC6	TIMMDC1	428	OxPhos
IC6	BUD31	428	OxPhos
IC6	TCEB2	428	OxPhos
IC6	TOMM22	428	OxPhos
IC6	NDUFB9	428	OxPhos
IC6	EDF1	428	OxPhos
IC6	GLB1	428	OxPhos
IC6	YPEL5	428	OxPhos
IC6	MRPL14	428	OxPhos
IC6	SPCS3	428	OxPhos
IC6	TMCO1	428	OxPhos
IC6	NHP2L1	428	OxPhos
IC6	LAMTOR1	428	OxPhos
IC6	AKR1B1	428	OxPhos
IC6	TIMM13	428	OxPhos
IC6	KRTCAP2	428	OxPhos
IC6	RPS9	428	OxPhos
IC6	NDUFA5	428	OxPhos
IC6	UBE2L3	428	OxPhos
IC6	TUBA1B	428	OxPhos
IC6	EIF3D	428	OxPhos
IC6	LSM3	428	OxPhos
IC6	FARSB	428	OxPhos
IC6	PSMB5	428	OxPhos
IC6	MRPL40	428	OxPhos
IC6	SELT	428	OxPhos
IC6	ANAPC13	428	OxPhos
IC6	COX7A2	428	OxPhos
IC6	RBM3	428	OxPhos
IC6	MRPS21	428	OxPhos
IC6	ATP6V0B	428	OxPhos
IC6	RNF7	428	OxPhos
IC6	C19orf53	428	OxPhos
IC6	ATP5B	428	OxPhos
IC6	NDUFS8	428	OxPhos
IC6	VBP1	428	OxPhos
IC6	MGST3	428	OxPhos
IC6	ATP6V1E1	428	OxPhos
IC6	EEF1B2	428	OxPhos
IC6	MRPL20	428	OxPhos
IC6	AASDHPPT	428	OxPhos
IC6	NDUFB1	428	OxPhos
IC6	VTA1	428	OxPhos
IC6	CCT8	428	OxPhos
IC6	TMED10	428	OxPhos
IC6	SSR4	428	OxPhos
IC6	WARS	428	OxPhos
IC6	TALDO1	428	OxPhos
IC6	NME1	428	OxPhos
IC6	C22orf28	428	OxPhos
IC6	ITGAE	428	OxPhos
IC6	CYB5B	428	OxPhos
IC6	TXNDC9	428	OxPhos
IC6	ANAPC16	428	OxPhos
IC6	RTFDC1	428	OxPhos
IC6	EBNA1BP2	428	OxPhos
IC6	GDI2	428	OxPhos
IC6	PDZD11	428	OxPhos
IC6	SNX6	428	OxPhos
IC6	GLO1	428	OxPhos
IC6	LAMP2	428	OxPhos
IC6	RAN	428	OxPhos
IC6	MPV17	428	OxPhos
IC6	ATP6V0E1	428	OxPhos
IC6	PTPLAD1	428	OxPhos
IC6	TECR	428	OxPhos
IC6	LGALS1	428	OxPhos
IC6	ZCRB1	428	OxPhos
IC6	C1orf43	428	OxPhos
IC6	TIMP1	428	OxPhos
IC6	DAZAP2	428	OxPhos
IC6	PCNP	428	OxPhos
IC6	ARL6IP5	428	OxPhos
IC6	DNAJC8	428	OxPhos
IC6	SF3B14	428	OxPhos
IC6	TMEM208	428	OxPhos
IC6	C7orf73	428	OxPhos
IC6	SUCLA2	428	OxPhos
IC6	RSL1D1	428	OxPhos
IC6	RPN1	428	OxPhos
IC6	SAR1B	428	OxPhos
IC6	RPSA	428	OxPhos
IC6	DERL2	428	OxPhos
IC6	PCNA	428	OxPhos
IC6	OST4	428	OxPhos
IC6	RPA3	428	OxPhos
IC6	BANF1	428	OxPhos
IC6	UBE2V2	428	OxPhos
IC6	PGK1	428	OxPhos
IC6	SNRPF	428	OxPhos
IC6	NOLC1	428	OxPhos
IC6	OCIAD1	428	OxPhos
IC6	GGCT	428	OxPhos
IC6	RPS5	428	OxPhos
IC6	HIGD2A	428	OxPhos
IC6	XRCC6	428	OxPhos
IC6	ATP5O	428	OxPhos
IC6	COA4	428	OxPhos
IC6	COX6B1	428	OxPhos
IC6	NDUFA9	428	OxPhos
IC6	MYL12B	428	OxPhos
IC6	SUB1	428	OxPhos
IC6	CHCHD3	428	OxPhos
IC6	NUDT5	428	OxPhos
IC6	ETFA	428	OxPhos
IC6	DRG1	428	OxPhos
IC6	VPS28	428	OxPhos
IC6	PFDN4	428	OxPhos
IC6	CHCHD2	428	OxPhos
IC6	COMMD6	428	OxPhos
IC6	MCTS1	428	OxPhos
IC6	CHCHD5	428	OxPhos
IC6	JKAMP	428	OxPhos
IC6	TCEB1	428	OxPhos
IC6	NDUFS6	428	OxPhos
IC6	CTSC	428	OxPhos
IC6	CNBP	428	OxPhos
IC6	MRPS35	428	OxPhos
IC6	MRPL17	428	OxPhos
IC6	FUNDC2	428	OxPhos
IC6	PRMT1	428	OxPhos
IC6	METTL5	428	OxPhos
IC6	PPID	428	OxPhos
IC6	RPL36AL	428	OxPhos
IC6	DECR1	428	OxPhos
IC6	VDAC1	428	OxPhos
IC6	COX8A	428	OxPhos
IC6	TAF9	428	OxPhos
IC6	GSTP1	428	OxPhos
IC6	NDUFB11	428	OxPhos
IC6	DYNLL1	428	OxPhos
IC6	DAP3	428	OxPhos
IC6	SHFM1	428	OxPhos
IC6	C14orf1	428	OxPhos
IC6	UQCRC2	428	OxPhos
IC6	CAPZB	428	OxPhos
IC6	SPCS2	428	OxPhos
IC6	SRI	428	OxPhos
IC6	PSMB4	428	OxPhos
IC6	ARCN1	428	OxPhos
IC6	NDUFAF2	428	OxPhos
IC6	MINOS1	428	OxPhos
IC6	REEP5	428	OxPhos
IC6	RAE1	428	OxPhos
IC6	ATIC	428	OxPhos
IC6	EIF6	428	OxPhos
IC6	SPARC	428	OxPhos
IC6	BCAS2	428	OxPhos
IC6	VDAC2	428	OxPhos
IC6	MRPS23	428	OxPhos
IC6	KARS	428	OxPhos
IC6	CDC123	428	OxPhos
IC6	EIF4E	428	OxPhos
IC6	ATP5A1	428	OxPhos
IC6	COX17	428	OxPhos
IC6	RAB11A	428	OxPhos
IC6	ATP6V1G1	428	OxPhos
IC6	PAIP2	428	OxPhos
IC6	MRPS10	428	OxPhos
IC6	MRPL13	428	OxPhos
IC6	LSM5	428	OxPhos
IC6	POLR2L	428	OxPhos
IC6	HINT1	428	OxPhos
IC6	PSMA7	428	OxPhos
IC6	SNRPE	428	OxPhos
IC6	NUTF2	428	OxPhos
IC6	THYN1	428	OxPhos
IC6	IFT52	428	OxPhos
IC6	TMX2	428	OxPhos
IC6	C12orf57	428	OxPhos
IC6	LAPTM4A	428	OxPhos
IC6	TIMM23	428	OxPhos
IC6	RPS24	428	OxPhos
IC6	PSMD4	428	OxPhos
IC6	FAM96B	428	OxPhos
IC6	NDUFC1	428	OxPhos
IC6	CUTA	428	OxPhos
IC6	NSA2	428	OxPhos
IC6	PSAP	428	OxPhos
IC6	SNRPG	428	OxPhos
IC6	PDHA1	428	OxPhos
IC6	AMZ2	428	OxPhos
IC6	TBCA	428	OxPhos
IC6	MAPRE1	428	OxPhos
IC6	SNRPB2	428	OxPhos
IC6	NSMCE1	428	OxPhos
IC6	DDX39A	428	OxPhos
IC6	TOMM7	428	OxPhos
IC6	STIP1	428	OxPhos
IC6	PPP2R5C	428	OxPhos
IC6	CALU	428	OxPhos
IC6	COMMD3	428	OxPhos
IC6	FAM32A	428	OxPhos
IC6	POLR2F	428	OxPhos
IC6	POLR2J	428	OxPhos
IC6	COPZ1	428	OxPhos
IC6	SARS	428	OxPhos
IC6	MYL6B	428	OxPhos
IC6	SLC25A6	428	OxPhos
IC6	EMC3	428	OxPhos
IC6	CD63	428	OxPhos
IC6	HNRNPR	428	OxPhos
IC6	PKM	428	OxPhos
IC6	LINC00493	428	OxPhos
IC6	POLR2K	428	OxPhos
IC6	SOD1	428	OxPhos
IC6	PPP1CA	428	OxPhos
IC6	TMX1	428	OxPhos
IC6	PDHB	428	OxPhos
IC6	MRPL22	428	OxPhos
IC6	TPRKB	428	OxPhos
IC6	NEDD8	428	OxPhos
IC6	TRAPPC1	428	OxPhos
IC6	ERAL1	428	OxPhos
IC6	MRPL39	428	OxPhos
IC6	C17orf76-AS1	428	OxPhos
IC6	IDH3G	428	OxPhos
IC6	GTPBP4	428	OxPhos
IC6	BUB3	428	OxPhos
IC6	CACYBP	428	OxPhos
IC6	COPG1	428	OxPhos
IC6	IARS	428	OxPhos
IC6	GTF2A2	428	OxPhos
IC6	CHMP2A	428	OxPhos
IC6	MRPL42	428	OxPhos
IC6	TMEM106C	428	OxPhos
IC6	PFDN2	428	OxPhos
IC6	PIN4	428	OxPhos
IC6	C4orf3	428	OxPhos
IC6	TPM3	428	OxPhos
IC6	CAP1	428	OxPhos
IC6	MRPS14	428	OxPhos
IC6	TRMT112	428	OxPhos
IC6	MRPL43	428	OxPhos
IC6	RPL8	428	OxPhos
IC6	C11orf58	428	OxPhos
